AD,CAD,Ward,AG,Age,GN,Gender,NH,CH,CH_YN,PT,Pets,DG,CT,NumPets,DGO,CTO,PetOut,YUP,RO,Rent_Own,IC,Income,Income_Coll,DGR,Degree,Edu_Coll,NS,MM,MMT,DC,ConcernScore,DL,DK,MG,LK,PM,SK,KS,KSP,GAT21,GAT2021,GATPr,GATPrev,GATSm,NumSummers,Summ1,Summ2,Summ3,Summ4,Summ5,New GAT,CHM,CHMN,EC,EmptyConts,ECT,UD,Dunks,FP,KnowUPProg,UPD,WhatProgDo (Overall Score),Did They Check GAT?,BCI,BlockCapInt,BCH,BlockCapHelp,PE,PF,EffectFavScore,PC,OCT,IMC,IMC_Score,GATNo,NoGATReason,GATNoT,TOD,TimeOut,AOD,OutAct,OutActA,OutActB,OutActC,OutActD,OutActE,OutActF,OutActG,OutActH,NumOut,AODT,OOD,OtherOutA,OtherOutB,OtherOutC,OtherOutD,OtherOutE,OtherOutF,OtherOutG,NumOtherOut,OODT,UPF,KN,IN,IN_Coll,Gift card email,Other comments
,,,35 - 50,2,Male,1,6,2,Yes,No,0,,,0,,,0,6,Own,2,"Greater than $250,000",6,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,3,My backyard,,3,6,"West Nile, chicangunya",1,Long lasting pools of standing water,1,Asian tiger,1,3,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,Yes,1,"Yes, regularly",1,,No,0,Yes,2,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",1,,Yes,2,No,0,3,5,8,"Battery-powered or active traps,More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They make being outside unpleasant",3,I do not want to maintain it,I do not want to maintain it,,More than 8 hours per week,9,"Play with or supervise children playing outdoors,Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home) ","Play with or supervise children playing outdoors,Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects  ",Play with or supervise children playing outdoors,Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,7,,"Outdoor-focused travel (such as visiting National Parks),Other outdoor activities (please describe)","Outdoor-focused travel ,Other outdoor activities ",Outdoor-focused travel,Other outdoor activities,,,,,2,Running,Yes,Yes,Weekly,Weekly,,
,,,18 - 35,1,Male,1,4,2,Yes,No,0,,,0,,,0,3,Own,2,"$150,000 - $200,000",4,#N/A,Graduate degree or professional degree,5,Graduate degree or professional degree,3,My backyard,,3,6,West Nile,1,Standing fresh water,1,Invasive tiger mosquito,1,3,,Yes,1,Yes,1,"20,192,020",2,2019,2020,,,,Yes,No,0,"Yes, regularly",1,,Yes,1,Yes,2,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",1,,Yes,2,Yes,2,4,5,9,"More town-sponsored distribution of GATs,Other (please describe)",Don’t chemical spray. It will kill beneficial insects,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,I want my community to be safe,They make being outside unpleasant",4,NA (I have a GAT),,,2 - 4 hours,3,"Play with or supervise children playing outdoors,Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood)","Play with or supervise children playing outdoors,Landscaping ,Gardening,Exercise ",Play with or supervise children playing outdoors,Landscaping,Gardening,Exercise,,,,,4,,"Birding,Hiking,Fishing,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel (such as visiting National Parks)","Birding,Hiking,Fishing,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel ",#REF!,,,,,,8,,Yes,Yes,Weekly,Weekly,,
,,,18 - 35,1,Female,2,3,0,No,Yes,1,1,0,1,1,0,1,34,Own,2,"$200,000 - $250,000",5,"$200,000 or greater",Bachelor's Degree,4,Bachelor's degree or less,5,My backyard,,5,10,"Zika, malaria",0,In water,1,Tiger mosquito,1,2,,Yes,1,Yes,1,"20,192,020",2,2019,2020,,,,Yes,No,0,"Sometimes, if I remember (enter approximately how often, if desired)",0,"Sometimes I find standing water on the lid of my compost, in planters and bird baths. ",Yes,1,Yes,2,"In-person education,GAT deployment efforts,Mosquito monitoring",1,,Yes,2,Yes,2,4,4,8,"Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",5,NA (I have a GAT),,,More than 8 hours per week,9,"Exercise (including walks around the neighborhood),Home improvement projects (such as painting or renovating the exterior of your home) ","Exercise ,Home improvement projects  ",Exercise,Home improvement projects,,,,,,,2,,"Hiking,Outdoor-focused travel (such as visiting National Parks)","Hiking,Outdoor-focused travel ",Hiking,Outdoor-focused travel,,,,,2,,Yes,Yes,Daily,Daily,,
,,,18 - 35,1,Female,2,4,2,Yes,Yes,1,1,0,1,1,0,1,2,Own,2,"$200,000 - $250,000",5,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,5,My backyard,,5,10,West Nile,1,Water,1,Don’t know,0,2,,Yes,1,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,"Yes, regularly",1,,Yes,1,Somewhat,1,GAT deployment efforts,1,,No,0,,#N/A,1,3,4,"Town-wide chemical spray,Battery-powered or active traps,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",5,,,,6- 8 hours,7,"Play with or supervise children playing outdoors,Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Play with or supervise children playing outdoors,Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch",Play with or supervise children playing outdoors,Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,,,6,,"Hiking,Kayaking, canoeing, or other water sports,Outdoor-focused travel (such as visiting National Parks)","Hiking,Kayaking, canoeing, or other water sports,Outdoor-focused travel ",Hiking,Kayaking,canoeing,or other water sports,Outdoor-focused travel,,5,,Yes,Yes,Daily,Daily,,
,,,18 - 35,1,Female,2,2,0,No,No,0,,,0,,,0,18,Own,2,"Greater than $250,000",6,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,5,My backyard,,4,9,West Nile Virus,1,Standing water,1,Don’t know,0,2,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,"No, never",0,,No,0,Somewhat,1,"Print education,GAT deployment efforts,Chemical-spraying,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",0,,Yes,2,Yes,2,5,5,10,"More volunteers to assist residents with mosquito control in their yards,More town-sponsored distribution of GATs",,"They can spread disease to humans,They make being outside unpleasant",2,I do not want to maintain it,I do not want to maintain it,,1 - 2 hours,2,Exercise (including walks around the neighborhood),Exercise,Exercise,,,,,,,,1,,"Hiking,Outdoor-focused travel (such as visiting National Parks)","Hiking,Outdoor-focused travel ",Hiking,Outdoor-focused travel,,,,,2,,Yes,Yes,Weekly,Weekly,,
,,,35 - 50,2,Female,2,4,2,Yes,No,0,,,0,,,0,4,Own,2,"$200,000 - $250,000",5,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,5,My backyard,,5,10,West Nile,1,Still water,1,Tiger mosquito,1,3,,No,0,Yes,1,2017,1,2017,,,,,No,Yes,1,"Yes, regularly",1,,No,0,Somewhat,1,"Print education,GAT deployment efforts,Door-to-door canvassing",1,,No,0,,#N/A,2,3,5,"Town-wide chemical spray,Battery-powered or active traps,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They make being outside unpleasant",3,"I do not think it works,It does not fully eliminate mosquitoes from the yard",It does not fully eliminate mosquitoes from the yard,,4 -6 hours,5,"Play with or supervise children playing outdoors,Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home) ","Play with or supervise children playing outdoors,Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects  ",Play with or supervise children playing outdoors,Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,7,,Camping or backpacking,Camping or backpacking,Camping or backpacking,,,,,,1,,Yes,Yes,Daily,Daily,,
,,,35 - 50,2,Female,2,5,2,Yes,Yes,1,0,1,1,0,0,0,9,Own,2,"$100,000 - $150,000",3,"$100,000 - $200,000",Graduate degree or professional degree,5,Graduate degree or professional degree,3,Near the creek,,3,6,West Nile?,1,Any standing water,1,Asian tiger,1,3,,No,0,Yes,1,"2016,2017,2018,2019,2020",5,2016,2017,2018,2019,2020,No,Yes,1,"Yes, regularly",1,,No,0,Yes,2,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",1,,Yes,2,Yes,2,5,5,10,"Battery-powered or active traps,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",5,NA (I have a GAT),,,1 - 2 hours,2,"Play with or supervise children playing outdoors,Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home) ","Play with or supervise children playing outdoors,Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects  ",Play with or supervise children playing outdoors,Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,7,,,,,,,,,,1,,Yes,Yes,Daily,Daily,,
,,,65+,4,Male,1,3,0,No,No,0,,,0,,,0,,Own,2,"Greater than $250,000",6,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,4,My backyard,,4,8,West Nile,1,standing water,1,tiger,1,3,,Yes,1,Yes,1,"201,820,192,020",3,2018,2019,2020,,,Yes,No,0,"Yes, regularly",1,,Sometimes,#N/A,Yes,2,"Print education,GAT deployment efforts,Block-captain organizing",1,,Yes,2,Yes,2,4,4,8,Battery-powered or active traps,,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They make being outside unpleasant",3,NA (I have a GAT),,,More than 8 hours per week,9,"Landscaping (such as lawn mowing),Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Landscaping ,Exercise ,Sitting in an outdoor space, such as a patio or porch",Landscaping,Exercise,Sitting in an outdoor space,such as a patio or porch,,,,,4,,None,None,None,,,,,,1,,Yes,Yes,Monthly,Monthly or less,,
,,,18 - 35,1,Male,1,2,0,No,Yes,1,2,0,2,2,0,2,1,Own,2,"$200,000 - $250,000",5,"$200,000 or greater",Bachelor's Degree,4,Bachelor's degree or less,3,"Around town (not in a specific location, but not when I am in my own yard)",,2,5,West nile,1,Stagnant water,1,Tiger mosquito,1,3,,No,0,No,0,,#N/A,#VALUE!,,,,,#VALUE!,No,0,"Yes, regularly",1,,No,0,Somewhat,1,"Print education,GAT deployment efforts",1,,No,0,,#N/A,3,4,7,More town-sponsored distribution of GATs,,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,They make being outside unpleasant",4,"I do not want to maintain it,I have pets that knock it over or damage it",I do not want to maintain it,,2 - 4 hours,3,"Landscaping (such as lawn mowing),Gardening,Sitting in an outdoor space, such as a patio or porch","Landscaping ,Gardening,Sitting in an outdoor space, such as a patio or porch",Landscaping,Gardening,Sitting in an outdoor space,such as a patio or porch,,,,,4,,Hiking,Hiking,Hiking,,,,,,1,,Yes,Yes,Daily,Daily,,
,,,18 - 35,1,Female,2,4,2,Yes,Yes,1,1,1,2,1,0,1,3,Own,2,"Greater than $250,000",6,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,5,My backyard,,3,8,West Nile,1,Standing water,1,Tiger mosquito,1,3,,No,0,Yes,1,"20,192,020",2,2019,2020,,,,Yes,No,0,"Sometimes, if I remember (enter approximately how often, if desired)",0,Monthly,Sometimes,#N/A,Yes,2,"Print education,In-person education,Block-captain organizing",1,,No,0,,#N/A,2,3,5,"Town-wide chemical spray,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,They make being outside unpleasant",4,"I do not think it works,I do not want to maintain it",I do not think it works,,2 - 4 hours,3,"Play with or supervise children playing outdoors,Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood)","Play with or supervise children playing outdoors,Landscaping ,Gardening,Exercise ",Play with or supervise children playing outdoors,Landscaping,Gardening,Exercise,,,,,4,,"Hiking,Fishing,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel (such as visiting National Parks)","Hiking,Fishing,Kayaking, canoeing, or other water sports,Camping or backpacking,Outdoor-focused travel ",#REF!,,,,,,7,,Yes,Somewhat,Weekly,Weekly,,
,,,50 - 65,3,Female,2,2,0,No,Yes,1,0,1,1,0,0,0,24,Own,2,"$50,000 - $100,000",2,"Up to $100,000",Graduate degree or professional degree,5,Graduate degree or professional degree,4,My backyard,,2,6,"zika, west nile",1,standing water,1,tiger mosquito,1,3,,Yes,1,Yes,1,"2016,2017,2018,2019,2020",5,2016,2017,2018,2019,2020,No,No,0,"Sometimes, if I remember (enter approximately how often, if desired)",0,1 x /month,No,0,Yes,2,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",1,,Yes,2,Yes,2,2,5,7,Battery-powered or active traps,,They make being outside unpleasant,1,,,,4 -6 hours,5,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch,Home improvement projects (such as painting or renovating the exterior of your home) ","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch,Home improvement projects  ",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,Home improvement projects,,,6,,,,,,,,,,1,,Yes,Yes,Daily,Daily,,
,,,35 - 50,2,Female,2,4,2,Yes,Yes,1,0,1,1,0,0,0,8,Own,2,"Greater than $250,000",6,"$200,000 or greater",Graduate degree or professional degree,5,Graduate degree or professional degree,5,My backyard,,3,8,West Nile,1,Water,1,Tiger mosquito,1,3,,No,0,Yes,1,2018,1,2018,,,,,Yes,No,0,"Yes, regularly",1,,Sometimes,#N/A,Yes,2,GAT deployment efforts,1,,No,0,,#N/A,2,4,6,More volunteers to assist residents with mosquito control in their yards,,I or another member of my household is irritated by mosquito bites,1,It does not fully eliminate mosquitoes from the yard,It does not fully eliminate mosquitoes from the yard,,6- 8 hours,7,"Play with or supervise children playing outdoors,Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Play with or supervise children playing outdoors,Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch",Play with or supervise children playing outdoors,Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,,,6,,None,None,None,,,,,,1,,Yes,Yes,Daily,Daily,,
,,,50 - 65,3,Female,2,3,0,No,Yes,1,1,,1,1,,1,26,Own,2,"$150,000 - $200,000",4,#N/A,Graduate degree or professional degree,5,Graduate degree or professional degree,2,My backyard,,4,6,"Zika, malaria, West Nile, etc.",1,small amounts of standign water,1,tiger mosquito,1,3,,Yes,1,Yes,1,"2016,2017,2018,2019,2020",5,2016,2017,2018,2019,2020,No,No,0,"Yes, regularly",1,,Yes,1,Yes,2,"Print education,In-person education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing,Door-to-door canvassing",1,,Yes,2,Somewhat,1,4,5,9,"More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,They can spread disease to animals,I want my community to be safe,They make being outside unpleasant",5,,,,4 -6 hours,5,"Landscaping (such as lawn mowing),Gardening,Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Landscaping ,Gardening,Exercise ,Sitting in an outdoor space, such as a patio or porch",Landscaping,Gardening,Exercise,Sitting in an outdoor space,such as a patio or porch,,,,5,,Birding,Birding,Birding,,,,,,1,,Somewhat,Yes,Weekly,Weekly,,
,,,65+,4,Male,1,2,0,No,Yes,1,1,,1,1,,1,16,Own,2,"$100,000 - $150,000",3,"$100,000 - $200,000",Bachelor's Degree,4,Bachelor's degree or less,4,My backyard,,4,8,"Zika virus, West Nile virus,",1,"Wet areas, ponding, standing water",1,Tiger,1,3,,No,0,Yes,1,"201,720,182,019",3,2017,2018,2019,,,No,No,0,"Yes, regularly",1,,Sometimes,#N/A,Yes,2,"Print education,GAT deployment efforts,Mosquito monitoring,Block-captain organizing",1,,Yes,2,Yes,2,3,4,7,"Town-wide chemical spray,Battery-powered or active traps,More volunteers to assist residents with mosquito control in their yards,More town-sponsored distribution of GATs,Town-sponsored distribution of other control materials, such as mosquito dunks and mesh to cover drain pipes",,"I or another member of my household is irritated by mosquito bites,They can spread disease to humans,I want my community to be safe,They make being outside unpleasant",4,"I do not want to maintain it,It does not fully eliminate mosquitoes from the yard",It does not fully eliminate mosquitoes from the yard,,More than 8 hours per week,9,"Landscaping (such as lawn mowing),Exercise (including walks around the neighborhood),Sitting in an outdoor space, such as a patio or porch","Landscaping ,Exercise ,Sitting in an outdoor space, such as a patio or porch",Landscaping,Exercise,Sitting in an outdoor space,such as a patio or porch,,,,,4,,None,None,None,,,,,,1,,Yes,Yes,Weekly,Weekly,,
